Japanese;English;French;German;
"“あそびかた”へ ようこそ


わたくし　シエラがゲームを
わかりやすく　解説します！
さっそく 説明していくわね
このゲームは
リンクと・・・
";"Welcome to Battle Mode!


I'm Ciela, and it's my job
to tell you all about how
to play this game!
In this game, players take
turns playing as Link...";"Bienvenue dans le mode
Duel!

Je m'appelle Ciela. Je vais
être votre guide et vous
expliquer comment jouer!
Dans ce jeu, les joueurs
contrôlent tour à tour
Link...";"Willkommen zur 
Spielanleitung.

Ich bin Ciela und erkläre 
dir dieses Spiel so einfach
wie möglich! Los geht's!
Bei diesem Spiel über-
nehmen die Spieler abwech-
selnd die Rolle von Link...";
"3体のファントムを
交替で動かして得点をきそう
2人用対戦ゲームです";"And as three big, evil
Phantoms! Players battle it
out for the most points.";"et trois méchants spectres!
Les joueurs rivalisent pour
gagner le plus de points.";"...und die von 3 Phanto-
men und streiten Mann 
gegen Mann um Punkte.";
"まずは
この画面の左はしをタッチして
左に向って歩いてみて！
とちゅうで やめたくなったら
スタートボタンを 押してね";"First, touch to the left
to move left.

To stop this tutorial,
press START anytime.";"D'abord, touchez le côté
gauche de cet écran pour
bouger vers la gauche.
Si vous en avez assez de
moi et de mes explications,
appuyez sur START. Sniff.";"Berühre zuerst die linke 
Seite dieses Bildschirms
und bewege dich nach links!
Wenn du aufhören willst, 
drücke einfach START.";
"こっちじゃないわ
△をタッチしてみて";"Not there! Sheesh. Try
tapping the △.";"Mais non! Pas là! Pffff...
Essayez de toucher le △.";"Nicht da. 
Tippe das △ an.";
"そうそう 今みたいに行きたい
ところを タッチするだけで
移動できるのよ！
つぎは ルール説明をするわ
先に進んで！";"Right! Just like that, you
can move by touching the
direction you want to go!
OK, next I'm going to
explain the rules!";"Très bien! C'est ça, vous
pouvez vous déplacer en
touchant une direction.
Bien, nous allons pouvoir
passer aux règles.
C'est parti!";"Genau so! Du kannst dich
einfach so bewegen...

...nur indem du die 
Richtung tippst, in die du 
willst!
Okay, als Nächstes erkläre
ich die Regeln! 
Weiter geht's!";
"まずは 左側に見えてる
△を どれでもいいから
タッチしてみて！";"Run up and tap one of the
△s. Any one is fine. Just 
tap it!";"Alors, touchez l'un des △.
Peu importe lequel.
Allez-y, touchez!";"Berühre zuerst eines der △.
Egal, welches. Einfach
berühren!";
"今 持ち上げている△は
フォースというの

これを 自分の陣地に持って
帰れば点数が入るのよ！

あなたは 赤組なので 赤い床が
あなたの陣地よ 

上画面のマップにも
表示されてるから
見てみて！
あと△を持っているときは
ファントムの姿がマップに
表示されるようにもなるのよ";"The △ that you're holding
is called a Force Gem.

You can earn points by 
carrying these back to your
base!
Because you are on the red
team, your base is the one
with the red floor.
It appears on the map on
the top screen as well, so
take a look! 
When you're holding a △,
you will be able to see
where Phantoms are. ";"Le △ que vous tenez
s'appelle une gemme
de force.
Vous remportez des points
en les ramenant à votre
base!
Puisque vous êtes en
rouge, votre base est
la zone rouge.
Elle est aussi affichée sur
la carte, sur l'écran
supérieur. Regardez!
Quand vous tenez une △,
la position des spectres
s'affiche sur la carte.";"Das △, das du hältst, nennt
man Force-Kristall.

Trage ihn zu deiner Basis,
um Punkte zu erhalten!

Weil du im roten Team bist,
ist deine Basis die mit dem
roten Boden.
Auf der Karte auf dem 
oberen Bildschirm kannst 
du sie auch sehen!
Übrigens, wenn du ein △
trägst, kannst du sehen,
wo die Phantome sind.";
"じゃあ △を持って 自分の陣地へ
いってみましょう！";"C'mon, let's try taking a
△ to your base!";"Allez, on va essayer
de ramener une △ à
votre base!";"Also, versuchen wir mal, ein
△ in deine Basis zu tragen!";
"赤い自分の陣地をタッチして
△を置いてから進んで！";"Tap your own red base to 
put down the △ and keep
going!";"Touchez un endroit de
votre base pour y déposer
la △ et passez à la suite!";"Berühre deine eigene rote 
Basis, um das △ hinzulegen
und lauf weiter!";
"今のっている床が 聖域よ！


リンクだけが通れる床で
ファントムは 入れない
安全地帯よ
しかもファントムからは
リンクの姿が見えなくなるから
目をくらませることができるの
あと赤か青の△を聖域におけば
黄色にもどすこともできるから
覚えておいて！
次は 上画面の説明よ
先に進んで！";"The area that you are 
standing on is called a 
safe zone!
Only Link can enter safe
zones. Magic keeps the
Phantoms out of them!
Phantoms can't see Link
when he's in a safe zone,
so you can trick them. 
And remember, if a red or
blue △ is placed on a safe
zone, it will turn yellow.
Next, I'll explain the
top screen!";"La zone dans laquelle vous
vous trouvez s'appelle un
sanctuaire!
Seul Link peut pénétrer
dans un sanctuaire. Les
spectres y sont interdits!
Les spectres ne peuvent
pas voir Link quand il est
dans un sanctuaire.
C'est un excellent moyen
de tromper leur vigilance
et de leur échapper.
N'oubliez pas: une △ rouge
ou bleue posée sur un
sanctuaire redevient jaune!
Bon, passons aux
explications de l'écran
supérieur. C'est parti!
";"Den Boden, auf dem du 
jetzt stehst, nennt man
Schutzzone!
Nur Link kann diese be-
treten, Phantome müssen
draußen bleiben.
Außerdem können Phantome
Link nicht sehen, wenn er in
einer Schutzzone ist.
Nutze dies, um sie auszu-
tricksen.

Und denk dran, wenn du ein
rotes oder blaues △ in 
eine Schutzzone legst...
...wird es wieder gelb!


Als Nächstes erkläre ich 
den oberen Bildschirm.
Weiter geht's!";
