Japanese;US English;French;German;
"ハイリア湖畔";"Lake Hylia";"Lac Hylia";"Hylia-See";
"戻らずの穴";"Cave of No Return";"Grotte des Ames perdues";"Höhle der Verdammnis";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"ハイラル城";"Hyrule Castle";"Château d'Hyrule";"Schloss Hyrule";
"海岸";"The Coast";"La Côte";"Die Küste";
"青の＠女の村";"Village of the Blue Maiden";"Village de la Jeune Fille bleue";"Dorf der Trauermaid";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"東の神殿";"Eastern Temple";"Temple de l'Est";"Tempel des Ostens";
"デスマウンテンのふもと";"Death Mountain Foothills";"Les Contreforts de la Mort";"Am Fuße des Todesbergs";
"登山道";"The Mountain Path";"Le Sentier";"Der Bergpfad";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"炎の塔";"Tower of Flames";"Tour des Flammes";"Turm des Feuers";
"草原";"The Field";"Le Champ";"Die Ebene";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"沼地";"The Swamp";"Le Marais";"Der Sumpf";
"ハイラル城への潜入";"Hyrule Castle Infiltration";"Infiltration du Château";"Infiltration: Schloss Hyrule";
"迷いの森";"Lost Woods";"Bois Perdus";"Die Verlorenen Wälder";
"闇を下る四人";"Four Who Descend into Darkness";"Quatre dans les Ténèbres";"Finsternis verschlingt Vier";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"暗黒の神殿";"Temple of Darkness";"Temple des Ténèbres";"Tempel der Finsternis";
"あやしの砂漠";"Desert of Doubt";"Désert du Doute";"Wüste der Irrungen";
"砂漠の神殿";"Desert Temple";"Temple du Désert";"Wüsten-Tempel";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"ピラミッド";"Pyramid";"Pyramide";"Die Pyramide";
"雪のハイラル";"Frozen Hyrule";"Hyrule sous la Neige";"Eiszeit in Hyrule";
"氷の神殿";"The Ice Temple";"Le Temple de Glace";"Der Eis-Tempel";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"風の塔";"Tower of Winds";"Tour des Vents";"Turm der Winde";
"天上の世界";"Realm of the Heavens";"Contrée des Cieux";"Himmelsgefilde";
"チンクルやぐら";"Tingle's Tower";"Tour de Tingle";"Tingles Turm";
"雲の砦";"Cloud Citadel";"Citadelle des Nuages";"Düstere Wolkenwelt";
"封印";"The Seal";"Le Sceau";"Das Siegel";
"草原";"The Field";"Le Champ";"Die Ebene";
"炎の塔";"Tower of Flames";"Tour des Flammes";"Turm des Feuers";
"風の塔";"Tower of Winds";"Tour des Vents";"Turm der Winde";
"ハイラル城";"Hyrule Castle";"Château d'Hyrule";"Schloss Hyrule";
"雲の上で";"Above the Clouds";"Nuages";"Über den Wolken";
"草原　～暗闇～";"The Field
(Dark World)";"Le Champ
(Monde des Ténèbres)";"Die Ebene
(Schattenwelt)";
