Japanese;UK English;French;German;
"チンクルはマップのある場所でしか
呼び出せません。";"You can only call Tingle from areas that
have maps!";"Tingle ne peut être appelé que quand une
carte apparaît à l'écran.";"Tingle kann nur an Orten gerufen werden,
zu denen es eine Kartenanzeige gibt.";
"チンクルはもう呼び出されています。";"You've already called Tingle. Check your
Game Boy Advance.";"Vous avez déjà appelé Tingle.";"Du hast Tingle bereits gerufen.";
"ＧＢＡがつながっていません。電源を入れ、
ＧＢＡケーブルをコントローラポート２～４
に差してから　アイテムを使ってください。";"There is no Game Boy Advance connected.
Use this item only after connecting a Game
Boy Advance to Controller Socket 2, 3, or 4
and turning the Game Boy Advance ON.";"Aucune Game Boy Advance n'a été détectée.
Branchez le câble d'alimentation GBA dans
l'un des ports 2, 3 ou 4 et allumez la
console pour pouvoir utiliser cette fonction.";"Der Game Boy Advance reagiert nicht. 
Schalte ihn ein und schließe ihn an einer
der Anschlussbuchsen für Controller 2 - 4
an. Danach kannst du das Item benutzen.";
"ＧＢＡの電源が切れています。電源を入れ、
ＧＢＡケーブルをコントローラポート２～４
に差してから　アイテムを使ってください";"The Game Boy Advance is not ON. Use this
item only after connecting the Game Boy
Advance to Controller Socket 2, 3, or 4
then turning the Game Boy Advance ON.";"La Game Boy Advance n'est pas allumée.
Branchez le câble d'alimentation GBA dans
l'un des ports 2, 3 ou 4 et allumez la
console pour pouvoir utiliser cette fonction.";"Der Game Boy Advance ist nicht
eingeschaltet. Schließe ihn an einer
der Anschlussbuchsen für Controller 2-4
an und benutze dann das Item.";
"チンクルを呼び出しますか？
• はい
いいえ";"Would you like to call Tingle?
• Yes
No";"Appeler Tingle?
• Oui
Non";"Tingle rufen?
• Ja
Nein";
"呼び出し中・・・・・・・";"Now calling Tingle...";"Appel en cours...";"Verbindungsaufbau...";
"もう一度、ＧＢＡの電源が入っていて
ＧＢＡケーブルがコントローラポート２～４に
差されていることを確認してください。";"An error has occurred. Please check to be
sure that your Game Boy Advance is
properly connected to Controller Socket
2, 3, or 4 and that the power is ON.";"Veuillez vérifier que la Game Boy Advance 
est bien allumée et que le câble 
d'alimentation GBA est bien connecté à
l'un des ports 2, 3 ou 4.";"Überprüfe noch einmal, ob dein 
Game Boy Advance eingeschaltet
und ob er an einer der Anschlussbuchsen
für Controller 2 - 4 angeschlossen ist.";
"チンクルがＧＢＡに現れました。";"Tingle appeared on your Game Boy
Advance!";"Tingle apparaît sur votre Game Boy
Advance.";"Tingle ist auf deinem
Game Boy Advance erschienen.";
"スロットＡにメモリーカードが
見つかりません。
メモリーカードの接続を
確認してください。";"There is no Memory Card in Slot A.

Please check to confirm that a Memory
Card is inserted properly.";"Aucune Memory Card (carte mémoire) n'est
détectée dans le Slot A.
Vérifiez que la Memory Card
(carte mémoire) est bien connectée. ";"Es befindet sich keine Memory Card
(Speicherkarte) in Steckplatz A.
Überprüfe, ob sie korrekt eingesteckt ist.";
"スロットＡのメモリーカードは
こわれているので使用できません。 ";"The Memory Card in Slot A is damaged and
cannot be used.";"La Memory Card (carte mémoire) dans le
Slot A est endommagée et ne peut pas être
utilisée.";"Die Memory Card (Speicherkarte)
in Steckplatz A ist beschädigt und 
kann nicht verwendet werden.";
"スロットＡには
メモリーカード以外のものが
ささっています。 ";"The device inserted in Slot A is not a
Memory Card.";"L'objet inséré dans le Slot A n'est pas
valide. Remplacez-le par une Memory Card
(carte mémoire).";"Das Objekt in Steckplatz A wird nicht als
Memory Card (Speicherkarte) anerkannt.
Bitte stecke eine Memory Card
(Speicherkarte) ein.";
"スロットＡのメモリーカードには
対応していません。";"The Memory Card in Slot A is not
compatible with this game.";"La Memory Card (carte mémoire)
dans le Slot A n'est pas valide. ";"Die Memory Card (Speicherkarte) in
Steckplatz A wird nicht unterstützt.";
"スロットＡのメモリーカードは
データがこわれているので
初期化が必要です。
初期化しますか？

 はい いいえ ";"The Memory Card in Slot A is corrupted and
needs to be formatted. Would you like to
format the Memory Card now?

 Yes No";"La Memory Card (carte mémoire) dans le 
Slot A contient des données corrompues et
a besoin d'être formatée.
Formater? 

 Oui Non ";"Die Memory Card (Speicherkarte) in
Steckplatz A ist fehlerhaft und muss
formatiert werden.
Möchtest du jetzt formatieren?

 Ja Nein";
"スロットＡのメモリーカードに
空き容量がないか、ファイル数の
制限を越えてしまいます。
このゲームをセーブするには
ファイル１つと１２ブロックの
空き容量が必要です。 ";"There is no free space on the Memory Card
in Slot A. To save The Legend of Zelda:
The Wind Waker, you need at least 1 save
file and 12 free blocks of memory.";"Il n'y a pas assez d'espace libre sur la 
Memory Card (carte mémoire) dans le
Slot A. Pour créer un nouveau fichier de
sauvegarde, 1 fichier libre et 12 blocs libres
sont nécessaires.";"Es befindet sich entweder nicht genügend
Platz auf der Memory Card (Speicherkarte)
in Steckplatz A oder die maximale Anzahl
an Spielständen ist überschritten.
Um Spielstände für dieses Spiel zu
speichern, werden eine freie Datei und
zwölf freie Blöcke benötigt.";
"スロットＡのメモリーカードは
このゲームでは使用できません。 ";"The Memory Card in Slot A cannot be used
with this game.";"La Memory Card (carte mémoire) dans le 
Slot A ne peut pas être utilisée pour
cette partie.";"Die Memory Card (Speicherkarte) in
Steckplatz A kann nicht für dieses Spiel
verwendet werden.";
"初期化すると
メモリーカード内の
データはすべて消えます。
よろしいですか？

 はい いいえ ";"Formatting the Memory Card will erase
all previously saved data. Are you
sure you want to format?
 Yes No";"Formater la Memory Card (carte mémoire) 
entraînera la perte de toutes les données
sauvegardées. 
Voulez-vous continuer?

 Oui Non";"Durch das Formatieren der Memory Card
(Speicherkarte) werden alle zuvor
gespeicherten Daten gelöscht.
Möchtest du trotzdem formatieren?

 Ja Nein ";
"初期化しています。

メモリーカードや
パワーボタンに
さわらないで下さい。";"The Memory Card is being formatted...

Do NOT touch the Memory Card or the
POWER Button.";"Formatage en cours. 

Ne touchez pas à la Memory Card 
(carte mémoire) dans le Slot A, ni au 
bouton POWER.";"Formatierung wird vorgenommen.

Bitte entferne nicht die Memory Card
(Speicherkarte) in Steckplatz A und
betätige nicht den POWER-Schalter.";
"初期化しました。";"The Memory Card has been formatted.";"Formatage terminé.";"Formatierung abgeschlossen.";
"初期化に
失敗した可能性があります。 ";"The Memory Card could not be formatted.";"Le formatage peut avoir échoué.";"Bei der Formatierung könnte eventuell
ein Fehler aufgetreten sein.";
