Japanese;US English;French;German;
"メモリーカードチェック";"Checking Memory Card in Slot A...";"Vérification de la carte mémoire.";"Memory Card wird geprüft...";
"スロットＡにメモリーカードが見つかりません
メモリーカードの接続を確認して下さい";"No Memory Card found in Slot A.
Please insert a Memory Card into
Slot A.
";"Aucune carte mémoire n'est détectée
dans le Slot A. Vérifiez si la carte
mémoire est insérée correctement
dans le Slot A.";"Es befindet sich keine Memory Card
in Steckplatz A. Bitte stecke eine
Memory Card ein.";
"スロットＡのメモリーカードは
こわれているので使用できません";"The Memory Card in Slot A is damaged
and cannot be used.";"La carte mémoire dans le Slot A est
endommagée et ne peut pas être
utilisée.";"Die Memory Card in Steckplatz A ist
beschädigt und kann nicht verwendet
werden.";
"スロットＡにはメモリーカード
以外のものがささっています";"The wrong device is inserted in
Slot A. Please insert a Memory Card.";"L'objet inséré dans le Slot A n'est
pas valide. Remplacez-le par une
carte mémoire.";"Das Objekt in Steckplatz A wird nicht
als Memory Card anerkannt. Bitte
stecke eine Memory Card ein.";
"スロットＡのメモリーカードには
対応していません";"Unable to use the Memory Card in
Slot A.";"La carte mémoire insérée dans le
Slot A n'est pas compatible.";"Die Memory Card in Steckplatz A
kann nicht verwendet werden.";
"スロットＡのメモリーカードはデータが
こわれているので初期化が必要です
初期化しますか？";"The Memory Card in Slot A is
corrupted. Would you like to format
the Memory Card in Slot A?";"La carte mémoire dans le Slot A
contient des données corrompues
et a besoin d'être formatée.
Voulez-vous la formater?";"Die Memory Card in Steckplatz A
ist fehlerhaft und muss formatiert
werden. Soll sie jetzt formatiert
werden?
";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"スロットＡのメモリーカードに空き容量がないか
ファイル数の制限を超えてしまいます

このゲームをセーブするにはファイル１つと
４ブロックの空き容量が必要です";"There is insufficient space on the
Memory Card in Slot A. The Legend of
Zelda: Twilight Princess requires 1
file and 4 blocks to create a new save
file.";"Il n'y a pas assez d'espace libre sur
la carte mémoire dans le Slot A.

Ce jeu nécessite 1 fichier et 4 blocs
pour être sauvegardé.";"Es befindet sich nicht genügend freier
Platz auf der Memory Card in Steck-
platz A. Dieses Spiel benötigt zum
Speichern eine Datei und 4 freie
Blöcke.
";
"メモリーカード内容の整理は
本体のメモリーカード画面で
おこなって下さい";"Either insert a Memory Card with 
free space into Slot A or manage
the Memory Card contents on the 
Memory Card Screen.";"Pour gérer le contenu de votre carte
mémoire, utilisez l'Ecran Memory Card
(carte mémoire).";"Bitte bearbeite den Inhalt deiner
Memory Card auf dem Memory
Card-Bildschirm im Menü deines
GameCube.";
"初期化に失敗した可能性があります";"Memory Card formatting may have
failed.";"Il s'est produit une erreur lors
du formatage.";"Formatierung der Memory Card
eventuell fehlgeschlagen.";
"初期化しました";"Formatting complete.";"La carte mémoire a été formatée.";"Formatierung abgeschlossen.";
"初期化しています

メモリーカードや本体のパワーボタンに
触らないで下さい";"Formatting...
Please do not touch the Memory Card
in Slot A or the POWER Button.";"Formatage en cours...

Ne touchez pas à la carte mémoire ni
au bouton POWER.";"Formatierung läuft.
Bitte entferne nicht die
Memory Card und berühre nicht
den POWER-Schalter.";
"初期化するとメモリーカード内の
データはすべて消えます
よろしいですか？";"Formatting will erase any data
currently stored on the Memory Card
in Slot A. Format anyway?";"Formater la carte mémoire entraînera
la perte de toutes les données
sauvegardées.
Voulez-vous continuer le formatage?";"Beim Formatieren werden sämtliche
Daten auf dieser Memory Card
gelöscht. Fortfahren?";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"スロットＡのメモリーカードは
このゲームでは使用できません";"The Memory Card in Slot A cannot be
used.";"La carte mémoire insérée dans le
Slot A ne peut pas être utilisée
pour ce jeu.";"Die Memory Card in Steckplatz A
kann mit diesem Spiel nicht ver-
wendet werden.";
"本体のメモリーカード画面を開きますか？
（本体のメモリーカード画面は、Ａボタンを
押したままパワーボタンを入れ直しても
開くことができます）";"Would you like to manage the
contents of your Memory Card on the
Memory Card Screen?";"Voulez-vous ouvrir l'Ecran Memory
Card (carte mémoire)?
Vous pouvez accéder à l'Ecran
Memory Card (carte mémoire) en
éteignant votre console, puis en
la rallumant en maintenant le
bouton A enfoncé.";"Soll der Memory Card-Bildschirm
im Konsolenmenü geöffnet werden?
(Um den Memory Card-Bildschirm zu
öffnen, kannst du auch den POWER-
Schalter betätigen, während du den
A-Knopf gedrückt hältst.)";
"セーブはできませんが
ゲームを始めますか？";"Continue without saving?";"Impossible de sauvegarder.

Voulez-vous commencer
quand même?";"Speichern nicht möglich. Möchtest
du trotzdem das Spiel beginnen?";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"スロットＡのメモリーカードに
このゲームのファイルを作りますか？";"Would you like to create a save file
for this game on the Memory Card
inserted in Slot A?";"Voulez-vous créer un fichier pour ce
jeu sur la carte mémoire dans
le Slot A?";"Soll auf der Memory Card in Steck-
platz A eine Datei zu diesem Spiel
erstellt werden?";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"スロットＡのメモリーカードには
このゲームをセーブするファイルがありません";"There is no save file for this game
stored on the Memory Card in Slot A.";"Il n'y a pas de fichier de sauvegarde
de ce jeu sur la carte mémoire dans
le Slot A.";"Auf der Memory Card in Steck-
platz A befindet sich keine Datei
zum Speichern dieses Spiels.";
"ファイルを作るのに
失敗した可能性があります";"There may have been an error
creating a save file.";"Une erreur s'est produite lors de
la création du fichier.";"Erstellen der Datei ist
möglicherweise fehlgeschlagen.";
"ファイルを作っています

メモリーカードや本体のパワーボタンに
触らないで下さい";"Creating a save file.
Please do not touch the Memory Card
in Slot A or the POWER Button.";"Création du fichier de sauvegarde
en cours...

Ne touchez pas à la carte mémoire
ni au bouton POWER.";"Datei wird erstellt.

Bitte entferne nicht die
Memory Card und betätige nicht
den POWER-Schalter.";
"ファイルを作りました";"Save file created.";"Le fichier a été créé.";"Datei wurde erstellt.";
"セーブできません

スロットＡにメモリーカードが見つかりません
メモリーカードの接続を確認して下さい";"Unable to save. Cannot find a Memory
Card in Slot A. Please check if a
Memory Card is inserted.";"Impossible de sauvegarder.

Aucune carte mémoire n'est détectée
dans le Slot A.
Vérifiez si la carte mémoire est
correctement insérée.";"Speichern nicht möglich.
Keine Memory Card in Steckplatz A
gefunden. Bitte überprüfe die Ver-
bindung der Memory Card.";
"セーブできません

スロットＡのメモリーカードは
こわれているので使用できません
スロットＡに正常なメモリーカードをさして下さい";"Unable to save. The Memory Card in
Slot A cannot be used. Insert another
Memory Card into Slot A.";"Impossible de sauvegarder.

La carte mémoire dans le Slot A est
endommagée et ne peut pas être
utilisée.
Veuillez insérer une carte mémoire
valide dans le Slot A.";"Speichern nicht möglich.
Die Memory Card in Steckplatz A
ist beschädigt und kann nicht ver-
wendet werden. Bitte stecke eine
unbeschädigte Memory Card in 
Steckplatz A ein.";
"セーブできません

スロットＡにはメモリーカード以外の
ものがささっています
スロットＡに正常なメモリーカードをさして下さい";"Unable to save. There is something
besides a Memory Card inserted in
Slot A. Please insert a Memory Card.";"Impossible de sauvegarder.

L'objet inséré dans le Slot A n'est
pas valide. Remplacez-le par une
carte mémoire.";"Speichern nicht möglich.
Das Objekt in Steckplatz A wird nicht
als Memory Card erkannt. Bitte stecke
eine Memory Card in Steckplatz A ein.";
