Japanese;English;French;German;
"OK";"OK";"OK";"Okay";
"グループにはいる";"Join Group";"Rejoindre groupe";"Spiel beitreten";
"たいせんあいてが きまりました！";"The players have been assembled!";"Tous les joueurs sont rassemblés!";"Mitspieler gefunden!";
"バトルステージをえらんでください";"Choose a place to battle.";"Choisissez une arène.";"Bitte wähle eine Arena.";
"たいせんのじゅんびをしています・・・";"Preparing stage...";"Combat en cours de préparation...";"Spiel wird vorbereitet...";
"ステージせんたくちゅう・・・おまちください";"Someone is choosing a stage...";"Choix de l'arène en cours...";"Arenawahl... Bitte warten!";
"つうしんがきれました";"Connection lost.";"La connexion a été
interrompue.";"Verbindung wurde
unterbrochen.";
"フォースをあつめろ！";"Get all the Force Gems you can!";"Récoltez des gemmes de force!";"Sammle Force-Kristalle!";
"ほかのひとのせんたくを まっています";"Someone is making a selection...";"En attente des autres joueurs.";"Warte auf Auswahl d. Mitspielers.";
"つうしんを せつだんしました
でんげんを きってください

おつかれさまでした";"Connection terminated.
Please turn off the power.";"Vous avez interrompu
la connexion. Veuillez
éteindre la console.
Merci d'avoir joué.";"Die Verbindung wurde
beendet. Bitte schalte dein
System aus.
Bis zum nächsten Mal!";
"ランクポイント";"Rank Points";"Points";"Rangpunkte";
"ランクポイント";"Rank Points";"Points:";"Rangpunkte:";
"つぎへ";"Next";"Suite";"Weiter";
"[Unknown_Tag]";"[Unknown_Tag]";"[Unknown_Tag]";"[Unknown_Tag]";
"もどる";"Back";"Retour";"Zurück";
"つうしんが
せつだんされました

ファイルせんたくがめんに
もどります";"Connection has been
terminated.
Returning to the file
selection screen...";"La connexion a été
interrompue.
Retour à l'écran de
sélection du fichier.";"Die Verbindung wurde
unterbrochen.

Zurück zur Dateiauswahl.";
"つうしんが
せつだんされました

いちど でんげんをきって
やりなおしてください";"Connection has been
terminated.
Please turn off the power
and try again.";"La connexion a été
interrompue. Veuillez
éteindre la console
et recommencer.";"Die Verbindung wurde
unterbrochen. Bitte schalte
dein System aus und
versuche es noch einmal.";
"つうしんエラー

ファイルせんたくがめんに
もどります";"Communication error.

Returning to the file
selection screen...";"Erreur de connexion.

Retour à l'écran de
sélection du fichier.";"Fehler bei der
Datenübertragung.

Zurück zur Dateiauswahl.";
"つうしんエラー

いちど でんげんをきって
やりなおしてください";"Communication error.

Please turn off the power
and try again.";"Erreur de connexion.

Veuillez éteindre la console
et recommencer.";"Fehler bei der Datenüber-
tragung. Bitte schalte dein
System aus und versuche
es noch einmal.";
"ゼルダのでんせつ だいちのきてき";"Zelda: Spirit Tracks";"Zelda: Spirit Tracks";"Zelda: Spirit Tracks";
"おっておわれてフォースをあつめろ！
みんなでできる たいせんゲーム";"Collect Force Gems in
this multiplayer game.";"Rassemblez le plus de
gemmes de forces!";"Verfolgt den Gegner und
sammelt Force-Kristalle!";
"カミナリまで あと [Unknown_Tag]びょう
ちかくのひとに おちるぞ！";"[Unknown_Tag]  'til the lightning!
Get someone close by!";"Eclair dans [Unknown_Tag] .
Il frappera autour de vous!";"[Unknown_Tag] Sek.: Donnerschlag!
Fang jemanden!";
"カミナリまで あと [Unknown_Tag]びょう
とおくまで にげろ！";"[Unknown_Tag]  left 'til the
lightning! Get away fast!";"Eclair dans [Unknown_Tag] .
Fuyez loin de lui!";"[Unknown_Tag] Sek.: Donnerschlag!
Lauf weg!";
"おとしあな はっせい！
あしもとに きをつけろ！";"Pitfalls have appeared!
Watch where you step!";"Apparition de trous!
Faites attention!";"Fallgruben aktiviert!
Pass auf, wo du hintrittst!";
"おとしあな はっせい！
あしもとに きをつけろ！";"Pitfalls have appeared!
Watch where you step!";"Apparition de trous!
Faites attention!";"Fallgruben aktiviert!
Pass auf, wo du hintrittst!";
"むてきモード はつどう！
みんなを ふっとばせ！";"You're invincible now!
Now's your time to shine!";"Vous êtes invincible!
Bousculez tout le monde!";"Du bist unbesiegbar!
Zeig's ihnen!";
"むてきモード はつどう！
ふれるときけん！";"Someone's invincible now!
Don't let them touch you!";"Il est invincible! Ne le
laissez pas vous toucher!";"Jemand ist unbesiegbar!
Weiche ihm aus!";
"しょしんしゃむけです";"Good for beginners.";"Pour les débutants.";"Gut für Anfänger.";
"ツルツルすべる ゆか";"Slide along the floors!";"Le sol est glissant.";"Vorsicht, rutschig!";
"ようがんに きをつけろ！";"Watch out for the lava!";"Attention à la lave!";"Achte auf die Lava.";
"ツルツルすべるゆか
じょうきゅうしゃむけです";"Slide along the floors!
For advanced battlers.";"Le sol est glissant.
Pour joueurs confirmés.";"Vorsicht, rutschig!
Für Fortgeschrittene.";
"ようがんに きをつけろ！
じょうきゅうしゃむけです";"Watch out for the lava!
For advanced battlers.";"Attention à la lave!
Pour joueurs confirmés.";"Vorsicht, Lava!
Für Fortgeschrittene.";
"みえないあいてに きをつけろ！
じょうきゅうしゃむけです";"Watch for unseen enemies!
For advanced battlers.";"Disparaissez dans l'ombre!
Pour joueurs confirmés.";"Versteckte Gegner lauern.
Für Fortgeschrittene.";
"ふたりで たいせん！
しょしんしゃむけです";"Two-player battle!
Perfect for beginners.";"Affrontez-vous en duel!
Pour les débutants.";"Duell!
Gut für Anfänger.";
"ふたりで たいせん！
ツルツルすべるゆか";"Two-player battle!
Slide along the floors!";"Affrontez-vous en duel!
Attention, sol glissant.";"Duell!
Vorsicht, rutschig!";
"ふたりで たいせん！
ようがんにきをつけろ！";"Two-player battle!
Watch out for the lava!";"Affrontez-vous en duel!
Attention à la lave!";"Duell!
Achte auf die Lava.";
"ツルツルすべるゆか
じょうきゅうしゃむけです";"Slide along the floors!
This stage is for experts!";"Attention, sol glissant.
Pour joueurs confirmés.";"Vorsicht, rutschig!
Für Fortgeschrittene.";
"ようがんに きをつけろ！
じょうきゅうしゃむけです";"Watch out for hot lava!
This stage is for experts!";"Attention à la lave!
Pour joueurs confirmés.";"Achte auf die Lava!
Für Fortgeschrittene.";
"みえないあいてに きをつけろ！
じょうきゅうしゃむけです";"Watch for invisible foes!
For advanced battlers.";"Disparaissez dans l'ombre!
Pour joueurs confirmés.";"Versteckte Gegner lauern...
Für Fortgeschrittene.";
"[Unknown_Tag]さんの
すべてのじょうほうを けします

もとには もどりませんが
ほんとうに けしますか？
けすやめる";"All of [Unknown_Tag]'s 
records will be erased, and
you won't be able to
retrieve this data. Are you
sure you want to proceed?
EraseCancel";"Toutes les données de
[Unknown_Tag] vont être
effacées et ne pourront
plus être récupérées.
Voulez-vous continuer?
OuiNon";"Alle Daten von
[Unknown_Tag] werden
gelöscht und können
nicht wiederhergestellt
werden. Fortfahren?
Ja.Nein.";
"[Unknown_Tag]さんの
データを けしました";"[Unknown_Tag]'s data
has been erased.";"Les données de
[Unknown_Tag]
ont été effacées.";"Daten v. [Unknown_Tag]
wurden gelöscht.";
"バトルランク [Unknown_Tag]に
しょうかくしました！";"You reached Rank [Unknown_Tag]!";"Vous avez atteint le
rang [Unknown_Tag]!";"Du hast Rang [Unknown_Tag]
erreicht!";
"バトルランク [Unknown_Tag]に
こうかくしました";"Your battle rank has
dropped to [Unknown_Tag].";"Vous avez été rétrogradé
au rang [Unknown_Tag].";"Du hast Rang [Unknown_Tag]
erreicht!";
"やめる";"Quit";"Arrêter";"Beenden";
"つづける";"Continue";"Continuer";"Fortsetzen";
"ゆうしょうかいすう";"Wins";"Nombre de victoires";"Gesamtsiege";
"グループをつくる";"Create Group";"Créer groupe";" Spiel erstellen";
"対戦者リスト";"Player List";"Adversaires";"Spielerliste";
